InputID,TargetID,Distance
 AFG, ALB,4056240.98853462
 AFG, DZA,5892551.81578583
 AFG, ASM,14120851.2824976
 AFG, AND,5555131.26236957
 AFG, AGO,7051555.20749818
 AFG, AIA,12111687.5195463
 AFG, ATA,13654713.7724898
 AFG, ATG,12104413.6033021
 AFG, ARG,15335852.525096
 AFG, ARM,1947260.03787981
 AFG, ABW,13074541.8809497
 AFG, AUS,9785482.50011898
 AFG, AUT,4584699.0935393
 AFG, AZE,1766028.59245912
 AFG, BHS,12446137.1704364
 AFG, BHR,1599365.33984643
 AFG, BGD,2634471.62303134
 AFG, BRB,12226244.8685261
 AFG, BLR,3681541.37622417
 AFG, BEL,5262538.64466487
 AFG, BLZ,13787343.4450321
 AFG, BEN,6905358.57833394
 AFG, BMU,11064611.6730474
 AFG, BTN,2521894.02771327
 AFG, BOL,14732541.2557085
 AFG, BOL,14732541.2557085
 AFG, BIH,4215757.90848487
 AFG, BWA,7484325.17229177
 AFG, BVT,11337035.7503481
 AFG, BRA,13406184.627027
 AFG, IOT,4370617.34830101
 AFG, BRN,6034566.33549973
 AFG, BRN,6034566.33549973
 AFG, BGR,3645741.69730301
 AFG, BFA,7099749.53589629
 AFG, BDI,5468367.0056889
 AFG, KHM,4620453.71158631
 AFG, CMR,6230290.95028333
 AFG, CAN,9535264.70030154
 AFG, CPV,8969527.8867267
 AFG, CYM,13141304.3611119
 AFG, CAF,5370487.05541235
 AFG, TCD,5038440.98646329
 AFG, CHL,15864043.1520752
 AFG, CHN,3677408.90856552
 AFG, CXR,6463666.33556651
 AFG, CCK,6065635.49232191
 AFG, COL,13915028.906569
 AFG, COM,5463059.56535947
 AFG, COG,6448437.1762855
 AFG, COD,5556052.18569092
 AFG, COK,15438398.0384064
 AFG, CRI,14229348.463039
 AFG, CIV,7668373.00853068
 AFG, CIV,7668373.00853068
 AFG, HRV,4414980.11491312
 AFG, CUB,12926395.3868074
 AFG, CYP,3214351.56319356
 AFG, CZE,4440668.86398686
 AFG, DNK,4890499.76839361
 AFG, DJI,3272819.8761721
 AFG, DMA,12195706.5923896
 AFG, DOM,12577635.054668
 AFG, ECU,14817244.3753301
 AFG, EGY,3425600.33879875
 AFG, SLV,14132594.8809275
 AFG, GNQ,6672725.72561381
 AFG, ERI,3295655.87624607
 AFG, EST,4077611.09929073
 AFG, ETH,3923776.47901875
 AFG, FLK,15102872.7089438
 AFG, FRO,5898887.45021761
 AFG, FJI,12920124.2977743
 AFG, FIN,4360683.63974602
 AFG, FRA,5458652.66217937
 AFG, GUF,12330489.3544107
 AFG, PYF,16804624.9507432
 AFG, ATF,8417939.13774102
 AFG, GAB,6725737.07123587
 AFG, GMB,8431688.70516758
 AFG, GEO,2139083.52370593
 AFG, DEU,4910895.56954321
 AFG, GHA,7389049.31420769
 AFG, GIB,6318783.0422623
 AFG, GRC,3897127.34272096
 AFG, GRL,7042090.91430694
 AFG, GRD,12474783.9672613
 AFG, GLP,12150304.4718612
 AFG, GUM,8266131.30750933
 AFG, GTM,14031692.5020249
 AFG, GGY,5742682.79517878
 AFG, GIN,7960911.25389473
 AFG, GNB,8370033.09755138
 AFG, GUY,12780319.6010077
 AFG, HTI,12693354.5178307
 AFG, HMD,9566319.84477034
